cUF	UF	Nome UF	Aliq_1	Aliq_2	Aliq_3	.	Observação
12	AC	ACRE	Fixo:0.00	72			
27	AL	ALAGOAS	Fixo:1.00	Fixo:2.00	29		
16	AP	AMAPA	Fixo:0.00	67			
13	AM	AMAZONAS	Fixo:2.00	Fixo:1.20	81		
29	BA	BAHIA	Fixo:2.00	44			
23	CE	CEARA	Fixo:2.00	79			
53	DF	DISTRITO FEDERAL	Fixo:2.00	44			
32	ES	ESPIRITO SANTO	Fixo:2.00	44			
52	GO	GOIAS	Max:2.00	10			
21	MA	MARANHÃO	Fixo:2.00	44			
51	MT	MATO GROSSO	Max:2.00	10			
50	MS	MATO GROSSO DO SUL	Fixo:2.00	44			
31	MG	MINAS GERAIS	Fixo: 2.00	77			
15	PA	PARA	Fixo:0.00	67			
25	PB	PARAIBA	Fixo:2.00	44			
41	PR	PARANA	Fixo:2.00	44			
26	PE	PERNAMBUCO	Fixo:2.00	44			
22	PI	PIAUI	Fixo:2.00	44			
33	RJ	RIO DE JANEIRO	Max:4.00	70			
24	RN	RIO GRANDE DO NORTE	Fixo:2.00	44			
43	RS	RIO GRANDE DO SUL	Fixo:2.00	44			
11	RO	RONDONIA	Fixo:2.00	44			
14	RR	RORAIMA	Max:2.00	10			
42	SC	SANTA CATARINA	Fixo:0.00	67			
35	SP	SAO PAULO	Fixo:2.00	44			
28	SE	SERGIPE	Fixo:2.00	Fixo:1.00	75		
17	TO	TOCANTINS	Fixo:2.00	44			
OBS.:	74						
	76						
