Tabela de Tipos de Veículos segundo Portaria DENATRAN 681, 12/03/2020				
tpVeic	EspVeic	Descrição tpVeic; EspVeic	dIniVig	dFimVig
2	1	2-Ciclomotor; 1-Passageiro	43902	
3	1	3-Motoneta; 1-Passageiro	43902	
3	2	3-Motoneta; 2-Carga	43902	
4	1	4-Motocicleta; 1-Passageiro	43902	
4	2	4-Motocicleta; 2-Carga	43902	
4	6	4-Motocicleta; 6-Especial	43902	
5	1	5-Triciclo; 1-Passageiro	43902	
5	2	5-Triciclo; 2-Carga	43902	
5	6	5-Triciclo; 6-Especial	43902	
6	1	6-Automóvel; 1-Passageiro	43902	
6	6	6-Automóvel; 6-Especial	43902	
7	1	7-Micro-Ônibus; 1-Passageiro	43902	
7	6	7-Micro-Ônibus; 6-Especial	43902	
8	1	8-Ônibus; 1-Passageiro	43902	
8	6	8-Ônibus; 6-Especial	43902	
10	1	10-Reboque; 1-Passageiro	43902	
10	2	10-Reboque; 2-Carga	43902	
10	6	10-Reboque; 6-Especial	43902	
11	1	11-Semirreboque; 1-Passageiro	43902	
11	2	11-Semirreboque; 2-Carga	43902	
11	6	11-Semirreboque; 6-Especial	43902	
13	3	13-Camioneta; 3-Misto	43902	
13	6	13-Camioneta; 6-Especial	43902	
14	2	14-Caminhão; 2-Carga	43902	
14	6	14-Caminhão; 6-Especial	43902	
17	5	17-Caminhão Trator; 5-Tração	43902	
17	6	17-Caminhão Trator; 6-Especial	43902	
18	5	18-Tr Rodas; 5-Tração	43902	
19	5	19-Tr Esteiras; 5-Tração	43902	
20	5	20-Tr Mistos; 5-Tração	43902	
21	1	21-Quadriciclo; 1-Passageiro	43902	
21	2	21-Quadriciclo; 2-Carga	43902	
22	1	22-Chassi Plataforma; 1-Passageiro	43902	
22	6	22-Chassi Plataforma; 6-Especial	43902	
23	2	23-Caminhonete; 2-Carga	43902	
23	6	23-Caminhonete; 6-Especial	43902	
25	3	25-Utilitário; 3-Misto	43902	
25	6	25-Utilitário; 6-Especial	43902	
26	6	26-Motor-Casa; 6-Especial	43902	
